date max mean median min stdv sum topic n1 no st rt
20170731 23.03 7.43 7.0 5.98 1.49 106368.53 RTS159 0.75 0.75 24 10
20170801 22.86 7.69 7.04 5.65 1.88 112280.83 RTS159 0.75 0.75 24 10
20170802 24.48 7.57 7.08 5.7 1.61 99281.38 RTS159 0.75 0.75 24 10
20170803 24.35 7.61 7.31 6.06 1.65 119956.73 RTS159 0.75 0.75 24 10
20170804 23.35 7.63 7.38 5.75 1.57 115230.78 RTS159 0.75 0.75 24 10
20170805 23.85 7.57 7.05 5.67 1.67 99417.64 RTS159 0.75 0.75 24 10
20170729 33.45 11.71 9.15 7.28 4.21 50858.43 RTS161 0.4133 0.1633 30 20
20170730 34.82 11.94 9.27 7.9 4.25 44243.89 RTS161 0.4133 0.1633 30 20
20170731 36.32 11.55 9.46 7.65 4.09 47767.23 RTS161 0.4133 0.1633 30 20
20170801 30.36 11.46 9.27 7.6 4.05 52981.41 RTS161 0.4133 0.1633 30 20
20170802 34.42 11.44 9.25 7.59 3.89 51464.41 RTS161 0.4133 0.1633 30 20
20170803 26.64 10.94 8.88 7.53 4.17 45324.44 RTS161 0.4133 0.1633 30 20
20170804 27.48 10.67 8.52 7.13 4.07 46140.84 RTS161 0.4133 0.1633 30 20
20170805 36.12 10.96 8.56 7.54 4.2 39151.02 RTS161 0.4133 0.1633 30 20
20170729 31.61 10.21 9.61 8.59 2.32 13126.82 RTS162 0.0 0.0 20 14
20170730 32.1 10.76 10.04 7.61 2.87 11668.83 RTS162 0.0 0.0 20 14
20170731 39.63 10.46 9.88 8.43 2.84 15013.89 RTS162 0.0 0.0 20 14
20170801 50.81 10.19 9.5 8.56 2.48 17041.49 RTS162 0.0 0.0 20 14
20170802 30.38 10.27 9.72 8.46 2.57 14836.19 RTS162 0.0 0.0 20 14
20170803 30.3 10.23 9.86 8.69 2.09 15920.02 RTS162 0.0 0.0 20 14
20170804 31.88 10.69 10.08 9.07 2.55 14092.13 RTS162 0.0 0.0 20 14
20170805 32.03 10.68 10.05 8.67 2.65 11637.57 RTS162 0.0 0.0 20 14
20170729 21.67 5.93 5.74 3.68 1.24 335848.16 RTS164 0.3488 0.3488 17 10
20170730 21.02 6.1 5.92 3.26 1.28 342693.78 RTS164 0.3488 0.3488 17 10
